content,score,at,content_bersih
sering penuh utk Bus jurusan Tujungan Benowo..... kurang armadanya klo bisa ada deteksi di aplikasi kalo Penuh.... seperti di Feeder,1,2026-03-28 16:37:59,sering penuh utk bus jurus tujungan benowo kurang armada klo ada deteksi aplikasi kalo penuh di feeder
"yaampunnn, pliss permudah dongg buat login nya, email dah bener kok katanya ga ke daftar, regist lgi juga harus pake nik🤬",1,2026-03-26 11:21:33,yaampunnn pliss mudah dongg buat login nya email dah bener kok kata ga daftar regist lgi harus pake nik
aplikasi gombal,1,2026-03-23 07:43:19,aplikasi gombal
mantab,5,2026-03-20 01:48:46,mantab
taek gk kenek di gawe,1,2026-03-19 10:15:39,taek gk kenek gawe
"aplikasi sampah, gak bisa dipake gak bisa login.",1,2026-03-18 10:27:53,aplikasi sampah gak dipake gak login
"ini tiap berapa bulan sekali update, yang jadi pertanyaan apa yang diperbarui?bukannya memudahkan malah ga bisa tracking armada nya",1,2026-03-16 18:38:49,tiap berapa bulan sekali update jadi tanya apa diperbaruibukannya mudah malah ga tracking armada nya
Perbaikan map kok tiap minggu,1,2026-03-13 16:58:47,baik map kok tiap minggu
sering banget disuruh update. btw plislah adain fitur ganti pp,1,2026-03-11 15:13:11,sering banget suruh update btw plislah adain fitur ganti pp
"Barusan top up, sudah berhasil kemudian aplikasi nge big log out sendiri, terus saat log in kembali koneksi terputus terus padahal paket data saya masih banyak dan membuka aplikasi lain juga masih bisa, akhirnya mencoba mode guest/tamu tapi tidak ada tampilan sama sekali hanya layar putih",1,2026-03-11 09:11:04,barusan top up hasil kemudian aplikasi nge big log out sendiri terus log in koneksi putus terus padahal paket data banyak buka aplikasi juga masih bisa akhir coba mode guesttamu tidak tampil sama sekali layar putih
aplikasi nya tolong lah diperbaiki sebagai mungkin. erorr trs ini gimana titik bis nya gk sesuai aplikasi. payahhh. tolong diperbaiki,1,2026-03-11 07:22:03,aplikasi nya lah baik mungkin erorr trs gimana titik bis nya gk sesuai aplikasi payahhh baik
bosok nyandet teros top up 30 ga mlebu duwek ilang apk ga beres,1,2026-03-09 12:21:59,bosok nyandet ros top up ga mlebu duwek ilang apk ga beres
"banyak bug, bis sering tidak muncul di map. Padahal jaringan saya lancar",1,2026-03-09 12:18:03,banyak bug bis sering muncul map padahal jaring lancar
gak guna,1,2026-03-05 11:41:44,gak
banyak bug,1,2026-03-04 13:33:00,banyak bug
sering gangguan,3,2026-03-04 06:51:44,sering ganggu
"TOLONG DI UPDATE, DIKALA URGENT APLIKASI TIDAK MENDUKUNG",5,2026-03-04 04:34:31,di update kala urgent aplikasi dukung
aplikasi apa an.. buang2 anggaran aja..,1,2026-03-03 20:09:55,aplikasi apa an buang anggar aja
sering muncul peringatan Koneksi Internet Terputus padahal sinyal ok dan buka aplikasi lain lancar. tolong diperbaiki segera. aplikasi ini penting bagi pengguna transum. mohon dikelola dengan baik dan serius,1,2026-03-03 16:10:08,sering muncul ingat koneksi internet putus padahal sinyal buka aplikasi lancar baik segera aplikasi penting guna transum mohon kelola baik dan serius
"sering kali error, koneksi terputus, bener bener gak nyaman..",1,2026-03-01 16:55:14,sering kali error koneksi putus bener bener gak nyaman
"ayolah para it yaitu programer dan lainnya ini aplikasimu banyak bugnya , koneksi sering error putus , tracking armada tidak muncul masa gini terus perbaiki lah masa ngak ada tim IT nya untuk mengatasi troubleshoot seperti ini seperti di biarkan begini",1,2026-03-01 13:40:44,ayo it programer lain aplikasi banyak bugnya koneksi sering error putus tracking armada muncul masa gin terus baik lah masa ngak tim it nya atas troubleshoot ini di biar begini
tolong di setiap bus stop di berikan tempat duduk dan tempat berteduh,1,2026-02-28 11:28:36,bus stop di ikan tempat duduk tempat teduh
banyak bug. lupa password susah dilakuin,3,2026-02-27 19:44:58,banyak bug lupa password susah dilakuin
"perbaiki lah aplikasinya lihat map, menjauh lagi, bis nya atau Wira-wiri juga gak ada di maps",5,2026-02-26 15:07:22,baik lah aplikasi lihat map jauh bis nya wirawiri gak di maps
aplikasi ga jelas login setengah jam ga bisa2,1,2026-02-26 12:16:12,aplikasi ga jelas login tengah jam ga
"Sering error sangat mengecewakan, tiba2 koneksi terputus sehingga tidak bisa dipakai padahal udah top up banyak",1,2026-02-26 12:13:50,sering error sangat kecewa tiba koneksi putus tidak pakai padahal udah top up banyak
SAYA HERAN SAMA ORANG ORANG YANG PUNYA MOBIL ATAU TRUCK . CUMA BISA PARKIR SEMBARANGAN YANG NUTUTUPI HALTE BUS APA LAGI SUDAH SATU TAHUN INI SAYA PAKAI TRANSPOTASI UMUM BUS SBY . TAPI TIDAK ADA PERUBAHAN .PEMERINTAH HARUSNYA MENDISPLINKAN ORANG ORANG ITU AGAR TIDAK PARKIR YANG EMANG HARUSNYA BUKAN TEMPAT PARKIR UMUM . UNTUK DRIVER BUS JANGAN MAKAN GAJI BUTA YANG SETIAP HALTE DILEWATKAN HARUSNYA TAU JALUR RUTE HALTE YANG HARUS HENTIKAN AGAR PENUMPANG TIDAK MENUNGGU DI HALTE TRUS DI LEWATKAN SAJA,1,2026-02-26 10:26:32,heran sama orang orang punya mobil truck cuma parkir sembarang nututupi halte bus apa sudah satu tahun saya pakai transpotasi umum bus sby ubah perintah harus mendisplinkan orang orang parkir emang harus bukan tempat parkir umum driver bus jangan makan gaji buta tiap halte lewat harus tau jalur rute halte harus henti agar tumpang tidak tunggu halte trus lewat
"Tolong lah perbaiki bug nya, masak mau daftar aja udah nungguin lama tiba tiba gagal,",1,2026-02-26 09:46:22,lah baik bug nya masak mau daftar aja udah nungguin lama tiba tiba gagal
tolong tambahin fitur bus penuh jadi tau,4,2026-02-23 16:25:35,tambahin fitur bus penuh jadi tau
"kenapa kadang tidak ada gambar mobil yg jalan itu, jadi saya bingung mobilnya sampai mana.. padahal jaringan juga lancar. tolong dibenarkan ya, kenapa waktu mau lihat rute tidak muncul padahal koneksi lancar jaya",1,2026-02-23 12:46:53,kadang ada gambar mobil yg jalan jadi bingung mobil mana padahal jaring lancar benar kenapa waktu mau lihat rute muncul padahal koneksi lancar jaya
lemot dan eror terus,1,2026-02-21 07:06:18,lot eror terus
"Banyak sekali bug nya, sering banget tertulis koneksi putus, padahal koneksinya lagi baik baik saja, bahkan untuk login akun saja susah sekali.. mohon segera diperbaiki",1,2026-02-21 06:21:39,banyak sekali bug nya sering banget tulis koneksi putus padahal koneksi baik baik bahkan login akun susah sekali mohon segera baik
"aplikasi sering bug koneksi terputus, padqhal sudah top up 40 tiket",1,2026-02-21 06:15:33,aplikasi sering bug koneksi putus padqhal top up tiket
Halo Developer. Kenapa aplikasi Gobis akhir-akhir ini eror ya? pembelian tiket tidak dapat dilakukan.,1,2026-02-21 06:13:00,halo developer aplikasi gob akhirakhir eror beli tiket dapat laku
untuk tracking bus nya sering tidak muncul...koneksi putus....!!! Untuk jam kerja ato jam sibuk...brgkat dr purabaya nya klo bisa di percepat,1,2026-02-20 08:07:56,tracking bus nya sering munculkoneksi putus jam kerja ato jam sibukbrgkat dr purabaya nya klo di cepat
error mulu applikasinya,1,2026-02-19 16:46:51,error mulu applikasinya
driver SB WW gak niat cari penumpang. harusnya mendekati halte cek dulu ada orang mau naik gak. bukannya patas aja. yaa gini nih kalau kerjanya ngasal dan gak ikhlas,1,2026-02-19 12:45:32,driver sb ww gak niat cari tumpang harus dekat halte cek dulu orang mau naik gak bukan patas aja yaa gin nih kalau kerja ngasal gak ikhlas
Lama banget nunggu bis berangkat. Masuk dalam bis jam 06.58..sampe jam 07.50 blom jalan?!!! Yang atur jadwal makin lama makin ga jelass. Bukan lama diperjalanan. Lama nunggu bis ini. Angkutan publik kok lemot amat. Perbaiki layanannya!!! Padahal ini rabu bukan hari senin,2,2026-02-18 07:51:22,lama banget nunggu bis berangkat masuk bis jam sampe jam blom jalan atur jadwal makin lama makin ga jelass bukan lama jalan lama nunggu bis angkut publik kok lot baik layan padahal rabu bukan hari senin
gak bisa lihat posisi armada... mohon lekas diupdate/diperbaiki..,2,2026-02-16 08:16:42,gak lihat posisi armada mohon lekas diupdatediperbaiki
gobis ni emang gabisa dibuka lewat paket data apa gimana sih? aplikasi gobisku gapernah bisa dipake buat ngecek bus kalo aku buka pake paket data🙁,1,2026-02-15 14:40:21,gob ni emang gabisa buka lewat paket data apa gimana sih aplikasi gob gapernah dipake buat ngecek bus kalo aku buka pake paket data
kok tampilannya ilang? Gabisa Login,1,2026-02-15 11:49:01,kok tampil ilang gabisa login
aplikasi gak guna masak mau lihat titik bus yaa mesti koneksi putus 😆,1,2026-02-14 14:58:27,aplikasi gak masak mau lihat titik bus yaa mesti koneksi putus
mobil wira wiri sekecil itu buat surabaya yg sepadet ini? mana armadanya dikit bgt lg gtau apa penumpangnya kek babon babon semua tolong dong simpatinya pemerintah,1,2026-02-12 18:33:12,mobil wira wiri kecil buat surabaya yg sepadet mana armada dikit bgt lg gtau apa tumpang kek babon babon semua dong simpati perintah
"saldo tb tb ilang pdhl blm ada transaksi, mending balik qris aja transaksinya. ribet",1,2026-02-12 10:19:50,saldo tb tb ilang pdhl blm transaksi mending balik qris aja transaksi ribet
"Suka banget bisa jalan jalan keliling Surabaya. Sayangnya, sering banget sisa kapasitas ga update, barusan aja di aplikasi sisa kapasitasnya 60, giliran bus nya dateng udh full :( padahal lagi buru buru",3,2026-02-11 17:20:26,suka banget jalan jalan keliling surabaya sayang sering banget sisa kapasitas ga update barusan aja aplikasi sisa kapasitas gilir bus nya dateng udh full padahal buru buru
titik bus tdk sesuai map,1,2026-02-10 15:06:49,titik bus tdk sesuai map
oke,5,2026-02-10 08:08:20,oke
saya top up kok malah ngga masuk aneh........,1,2026-02-09 17:39:03,top up kok malah ngga masuk aneh
lemot,1,2026-02-09 17:23:47,lot
"Aplikasi eroran , trackingnya sering ga muncul",2,2026-02-09 06:26:30,aplikasi eror trackingnya sering ga muncul
bagus sangat membantu,5,2026-02-09 06:00:14,bagus sangat bantu
map sering eror GPS tidak akurat mohon diperbaiki.,2,2026-02-05 17:06:46,map sering eror gps akurat mohon baik
"harap benerin tracking nya boss, trackingnya gabisa diliat posisi kendaraan nya",3,2026-02-05 12:56:19,harap benerin tracking nya boss trackingnya gabisa liat posisi kendara nya
"tolong lah keberangkatan sesuai jam jadwal yang tertera, masa wira wiri arah lakarsantri kode A di jam 8 keatas gaada sama sekali lewat? malah ngumpul di pusat nya. orang juga ada yang mau kerja, sekolah, ngejar waktu loh. smoga aja bisa ngerasain gmn apes nya kalo telat ya. perbaiki lah sistem nya, merugikan sekali, kami juga bayar.",1,2026-02-05 08:41:07,lah berangkat sesuai jam jadwal tera masa wira wiri arah lakarsantri kode a jam atas gaada sama sekali lewat malah ngumpul pusat nya orang ada mau kerja sekolah ngejar waktu loh smoga aja ngerasain gmn apes nya kalo telat baik lah sistem nya rugi sekali juga bayar
"Gak bisa beli tiket maupun login pakai data seluler gak peduli mau sebagus apapun jaringannya karena pasti selalu gagal dengan tulisan ""koneksi terputus"" begitu, jadi untuk segala halnya harus tetring wifi. Mohon diperbaiki, menyusahkan.",2,2026-02-03 15:17:04,gak beli tiket maupun login pakai data seluler gak peduli mau bagus apa jaring pasti selalu gagal tulis koneksi putus jadi segala hal tetring wifi mohon baik susah
Strategi pemeliharaan aplikasinya sangat buruk. Aplikasi sering bug dan error. Saya tidak bisa track feeder karena GPS-nya sama sekali tidak muncul. Padahal sinyal sudah bagus. tolong segera diperbaiki,1,2026-02-03 09:25:54,strategi pelihara aplikasi sangat buruk aplikasi sering bug error track feeder gpsnya sama sekali tidak muncul padahal sinyal bagus segera baik
"bug mulu rutenya, ngeselin",1,2026-02-02 19:13:07,bug mulu rute ngeselin
"tiket hemat sering berkali kali tiba tiba hilang jadi 0.. pas mau pakai akhirnya jadi pakai qris mau liat bis atau feeder nya jg jadi gak bisa krn gak muncul tlong dong sistem nya diperbaiki jngan error trs... klo gak gitu tiket hemat kliatan ada tapi pas mau bayar gak bisa"" trs.. pdahal sinyal full",1,2026-02-02 12:19:26,tiket hemat sering kali kali tiba tiba hilang jadi pas mau pakai akhir jadi pakai qris mau liat bis feeder nya jg jadi gak krn gak muncul tlong dong sistem nya baik jngan error trs klo gak gitu tiket hemat kliatan tapi pas mau bayar gak trs pdahal sinyal full
tolong diperbaiki bug dan erornya... saya kadung top up 100rb dan saya ga bisa gunain saldo gobis karena applikasinya terus bilang koneksi internet terputus padahal internet saya baik2 saja.. tolong banget kakak2 🥹🙏🏼,2,2026-01-31 16:33:31,baik bug eror kadung top up rb ga gunain saldo gob applikasinya terus bilang koneksi internet putus padahal internet saya baik tolong banget kakak
gak nyambung nyambung. koneksi terputus,1,2026-01-30 22:35:29,gak nyambung nyambung koneksi putus
"Mau saran aja, untuk busnya bisa tolong di kasih keterangan berapa jumlah penumpang yang ada di bus nya kayak apk bus sebelah? Jadi kita(penumpang) bisa tau apakah bus yang mau kita naiki penuh atau tidak",4,2026-01-30 17:46:06,mau saran aja bus tolong kasih terang berapa jumlah tumpang ada bus nya kayak apk bus belah jadi kitapenumpang tau bus mau naik penuh tidak
"Lokasi mobil ga muncul², alasannya koneksi terputus, padahal wifi bener² aman, app ga niatt, saya akhirnya suka telat karena lokasi mobilnya ga muncul², tolong di perbaiki, app pemerintah suka ga jelas",1,2026-01-30 16:57:04,lokasi mobil ga muncul alas koneksi putus padahal wifi bener aman app ga niatt akhir suka telat lokasi mobil ga muncul di baik app perintah suka ga jelas
"hapus aja lah, gak bisa di pakai Aplikasi ya. gak guna",1,2026-01-30 11:47:38,hapus aja lah gak di pakai aplikasi gak
Rute dari smkn 4 kranggan ke balongsari tandes tidak ada. pdhal daerahnya posisinya didaerah tengah.,1,2026-01-30 06:18:09,rute smkn kranggan balongsari tandes ada pdhal daerah posisi daerah tengah
"Eror, tidak bisa registrasi dan login, banyak bug",1,2026-01-29 01:22:17,eror bisa registrasi login banyak bug
plis help tadi udah di dalam bus gbs login dan beli tiket akhirnya turun di halte terdekat. apakah lagi eror? mau komplain ke siapa iniiiiii 😭😭😭,1,2026-01-28 19:22:26,plis help tadi udah dalam bus gbs login beli tiket akhir turun halte dekat lagi eror mau komplain siapa iniiiiii
"saldo ilang tiba""",2,2026-01-28 18:53:30,saldo ilang tiba
"ampas bgt. udh transum jelek, aplikasi ikutan jelek",1,2026-01-28 18:43:09,ampas bgt udh transum jelek aplikasi ikut jelek
gak bisa dibuka. gak bisa daftar sama sekali,1,2026-01-28 17:55:18,gak buka gak daftar sama sekali
"kenapa setiap buka aplikasi, kok gak muncul kendaraannya?",1,2026-01-28 14:25:21,tiap buka aplikasi kok gak muncul kendara
"ini gimana pengembang aplikasi nya ? kenapa saldo tiket hemat saya hilang jadi nol, pdhal sebelumnya sisa 6, pdhal baru top up kemaren, tapi riwayat pembelian tiket hemat nya kenapa yg terakhir tgl 10 januari, terus koneksi terputus. untuk sekelas kota gede surabaya, aplikasi ada bug kaya gini kecewa sih .",1,2026-01-28 13:20:25,gimana kembang aplikasi nya saldo tiket hemat hilang jadi nol pdhal belum sisa pdhal baru top up kemaren riwayat beli tiket hemat nya yg akhir tgl januari terus koneksi putus kelas kota gede surabaya aplikasi bug kaya gin kecewa sih
habis update kok malah eror koneksi terputus terus,1,2026-01-28 11:29:48,habis update kok malah eror koneksi putus terus
"tracking armada nya sering gak terlacak.. sering ada tulisan koneksi terputus juga padahal sinyal hp lagi kenceng bgt.. kalo tanya helper atau supir bilangnya selalu ""sering error aplikasi nya""",1,2026-01-27 08:42:09,tracking armada nya sering gak lacak sering tulis koneksi putus padahal sinyal hp kenceng bgt kalo tanya helper supir bilang selalu sering error aplikasi nya
aplikasinya sering error seperti bis dan wira wirinya gak muncul di maps,1,2026-01-27 06:12:23,aplikasi sering error bis wira wirinya gak muncul maps
banyak halte cuma di lewatin tidak mau ambil penumpang kayak kejadian hari ini tgl 25 Januari 2026. bus SB07 pukul 19:27 wib cuma lewat ngebut nyalib truk di depan halte tanjung perak padahal ada penumpang 3 orang tunggu di halte,1,2026-01-25 19:37:20,banyak halte cuma lewatin mau ambil tumpang kayak jadi hari tgl januari bus sb pukul wib cuma lewat ngebut nyalib truk depan halte tanjung perak padahal tumpang orang tunggu halte
"Jujur kemarin2 ga ada masalah, tp ini kenapa kemarin banget pas buka aplikasi ga kebaca bus nya, jd blank aja ga ada perjalanan busnya. kirain cuman di hp aku krn memori uda hampir penuh, pas dicoba di hp lain jg sama seperti itu tolong dong bug ini segera diperbaiki, aplikasi ini membantu orang utk bisa memantau perjalanan busnya",1,2026-01-25 14:23:36,jujur kemarin ga masalah tp kenapa kemarin banget pas buka aplikasi ga baca bus nya jd blank aja ga jalan bus kirain cuman hp aku krn memori uda hampir penuh pas coba hp jg sama itu dong bug segera baik aplikasi bantu orang utk pantau jalan bus
"halte fd6 tij lakar , halte Lakarsantri gak dibuat tempat iyupan atau apa gtu??? kok cuma pohon pohonan,kasihan orang nunggu disitu siapa tahu disana hujan deras lagi nunggu wirawiri tapi tidak ada iyupan nya.Saran mending buatin halte yang bagus ,lagian itu pemberhentian terakhir 🤭",4,2026-01-25 12:46:16,halte fd tij lakar halte lakarsantri gak buat tempat iyupan apa gtu kok cuma pohon pohonankasihan orang nunggu situ siapa tahu sana hujan deras nunggu wirawiri tidak iyupan nyasaran mending buatin halte bagus lagi henti akhir
sangat membantu,5,2026-01-25 10:05:12,sangat bantu
kenapa fitur maps trans semanggi / teman bus tidak ada?,2,2026-01-24 19:52:37,fitur maps trans semanggi teman bus ada
aplikasi gajelas mau daftar member ga bisa2 loading ga selesai2,1,2026-01-23 15:02:48,aplikasi gajelas mau daftar member ga loading ga selesai
"GPS sama sekali tidak akurat, dimap terlihat jauh tapi saat saya mau siap2 trnyt unit sudah lewat. tolong yg benar klo buat gps diupgrade dong",1,2026-01-22 14:27:49,gps sama sekali akurat map lihat jauh saat mau siap trnyt unit lewat yg benar klo buat gps diupgrade dong
kenapa sering tiba2 ga bisa di pake ya aneh banget.,1,2026-01-22 12:33:55,sering tiba ga di pake aneh banget
sekarang aplikasi sering error sampai melewatkan wira wiri 2x krn gak bisa beli tiket gobis,1,2026-01-22 11:39:46,sekarang aplikasi sering error lewat wira wiri x krn gak beli tiket gob
"sebenarnya bagus cm menurut sy ada yg kurang. 1 tdk fkexibel dengan operator lain telkomsel sering koneksi putus. 2 sy tunggu sampai 4x sesi wira wiri br dapat. lbh baik di apk trdapat info juga full. kasihan anak sy pulang sekolah sampai tunggu 2 jam, gerimis sampai hujan.",4,2026-01-20 17:54:19,benar bagus cm sy yg kurang tdk fkexibel operator telkomsel sering koneksi putus sy tunggu x sesi wira wiri br lbh baik apk trdapat info full kasihan anak sy pulang sekolah tunggu jam gerimis hujan
"Bagus sekali, menjangkau banyak daerah. Namun, sangat di sayangkan, terkadang saya mendapati supir/helper yang menurut saya kurang menjaga kesopan an, dari cara berbicara nya atau pelayanan nya",4,2026-01-20 16:41:30,bagus sekali jangkau banyak daerah sangat sayang terkadang dapat supirhelper turut kurang jaga sop an cara bicara nya layan nya
"benerin lagi dongo,koneksi terputus mulu",1,2026-01-19 06:36:55,benerin dongokoneksi putus mulu
"aplikasi tolong di perbaiki banyak trobel, mau login aja susah banget ... email & pasword sudah bener malah internet terjadi masalah kuota masih banyak di pakek di aplikasi lain lancar"" aja",1,2026-01-17 13:15:14,aplikasi baik banyak trobel mau login aja susah banget email pasword bener malah internet jadi masalah kuota banyak pakek di aplikasi lancar aja
"aplikasimu koneksi terputus teros min, tolong ndang di service. suwon",2,2026-01-15 20:32:34,aplikasi koneksi putus ros min ndang service suwon
aplikasi gak jelas... sinyal enak eh malah koneksi terputus mulu,2,2026-01-14 12:09:14,aplikasi gak jelas sinyal enak eh malah koneksi putus mulu
tidam membantu sama sekali,1,2026-01-13 22:09:15,tidam bantu sama sekali
bobrok,1,2026-01-13 09:05:27,bobrok
Udah beli Tiket Hemat 40K terus lupa passwordnya eh taunya gabisa ganti ulang/riset password jadi Hangus lah tiketnya 😭 aplikasinya Gajelas banget deh bikin bingung mana sering tbtb koneksi Gobis terputus padahal jaringan nya udah bagus lho😭 mohon diperhatikan lagi deh kedepannya❗️,1,2026-01-13 08:29:31,udah beli tiket hemat k terus lupa passwordnya eh tau gabisa ganti ulangriset password jadi hangus lah tiket aplikasi gajelas banget deh bikin bingung mana sering tbtb koneksi gob putus padahal jaring nya udah bagus lho mohon perhati deh depan
"jaringan bagus padahal,bus Masi jauh pas nyampek halte malah sudah lewat",1,2026-01-12 17:08:05,jaring bagus padahalbus mas jauh pas nyampek halte malah lewat
tolong ww osowilangon-unesa ditambah. kemarinn sudah ada 5 feeder skrg jd 4 lagi.,3,2026-01-12 08:04:59,ww osowilangonunesa tambah kemarinn ada feeder skrg jd
"GPS untuk posisi pengguna tidak akurat, ruteny pun ruwet, jam 6 pagi lokasi bus belum muncul",3,2026-01-12 05:53:25,gps posisi guna akurat ruteny ruwet jam pagi lokasi bus muncul
"banyak bug, kebanyakan Race condition sampai koneksi terputus, menggunakan tracking GPS tidak Deterministik sampai miss perhitungan Posisi. tolong Perbaiki lagi supaya tidak terjadi hal-hal seperti itu ya.",1,2026-01-11 15:11:11,banyak bug banyak race condition koneksi putus guna tracking gps deterministik miss hitung posisi baik supaya jadi halhal itu
"pertama kali donlod dan disuruh daftar member, selesai mengisi data diri pas di enter ga bisa, ada pemberitahuan koneksi terputus padahal mah wifi full",1,2026-01-10 09:59:38,pertama kali donlod suruh daftar member selesai isi data diri pas enter ga ada pemberitahuan koneksi putus padahal mah wifi full
hanya bisa diakses pakai wifi 😏😏😏,2,2026-01-09 17:45:30,bisa akses pakai wifi
"trans semanggi jarak nggak ada 10 meter saya lari di k3mart dekat halte tunjungan, eh ditinggal juga dan perpanjangan jalur tapi Urip Sumoharjo yang arah basra tetep nggak di lewati",1,2026-01-09 09:45:11,trans semanggi jarak ada meter lari kmart dekat halte tunjung eh tinggal dan panjang jalur urip sumoharjo arah basra tetep di lewat
"Pantas bintangnya 2 mau menggunakan harus daftar, sedangkan daftar loading g selesai².. Y g bisa dibuka",1,2026-01-08 13:37:29,pantas bintang mau guna daftar daftar loading g selesai y g buka
"aplikasi terlalu sering logout sendiri, sering ada pemberitahuan kehilangan sinyal padahal sinyal HP full dan aplikasi lainnya aman. MOHON LEBIH DIPERHATIKAN",1,2026-01-07 07:02:17,aplikasi terlalu sering logout sendiri sering pemberitahuan hilang sinyal padahal sinyal hp full aplikasi lain aman mohon lebih perhati
"bintang nol ada gak sih ini aplikasi, gak respon sama sekali, gak bisa diapa apain, padahal hp baru,",1,2026-01-05 10:15:10,bintang nol gak sih aplikasi gak respon sama sekali gak apa apain padahal hp baru
"aplikasi sering eror, sering gak muncul bus atau wira wiri nya..tolong di benerin lagi..",1,2026-01-02 18:29:22,aplikasi sering eror sering gak muncul bus wira wiri nyatolong benerin
aplikasi gak bisa eror tolong di benahi. mengecewakan,1,2026-01-01 15:52:17,aplikasi gak eror di benah kecewa
