Nama_User,Rating,Tanggal,Ulasan,Ulasan_Bersih
Sydney Evelyna,1,2026-02-23 12:46:53,"kenapa kadang tidak ada gambar mobil yg jalan itu, jadi saya bingung mobilnya sampai mana.. padahal jaringan juga lancar. tolong dibenarkan ya, kenapa waktu mau lihat rute tidak muncul padahal koneksi lancar jaya",kenapa kadang tidak ada gambar mobil yg jalan itu jadi saya bingung mobilnya sampai mana padahal jaringan juga lancar tolong dibenarkan ya kenapa waktu mau lihat rute tidak muncul padahal koneksi lancar jaya
Septiani Putri,1,2026-02-21 10:49:40,aplikasi nya tolong lah diperbaiki sebagai mungkin. erorr trs,aplikasi nya tolong lah diperbaiki sebagai mungkin erorr trs
Muhammad Chusni,1,2026-02-21 07:06:18,lemot dan eror terus,lemot dan eror terus
Paulina S,1,2026-02-21 06:21:39,"Banyak sekali bug nya, sering banget tertulis koneksi putus, padahal koneksinya lagi baik baik saja, bahkan untuk login akun saja susah sekali.. mohon segera diperbaiki",banyak sekali bug nya sering banget tertulis koneksi putus padahal koneksinya lagi baik baik saja bahkan untuk login akun saja susah sekali mohon segera diperbaiki
Wahyu Nur,1,2026-02-21 06:15:33,"aplikasi sering bug koneksi terputus, padqhal sudah top up 40 tiket",aplikasi sering bug koneksi terputus padqhal sudah top up tiket
Sella Auliya Rahmah,1,2026-02-21 06:13:00,Halo Developer. Kenapa aplikasi Gobis akhir-akhir ini eror ya? pembelian tiket tidak dapat dilakukan.,halo developer kenapa aplikasi gobis akhir akhir ini eror ya pembelian tiket tidak dapat dilakukan
Rusmono Fairuz,1,2026-02-20 08:07:56,untuk tracking bus nya sering tidak muncul...koneksi putus....!!! Untuk jam kerja ato jam sibuk...brgkat dr purabaya nya klo bisa di percepat,untuk tracking bus nya sering tidak muncul koneksi putus untuk jam kerja ato jam sibuk brgkat dr purabaya nya klo bisa di percepat
Amara Nebula,1,2026-02-19 16:46:51,error mulu applikasinya,error mulu applikasinya
Bimas Permana,1,2026-02-19 12:45:32,driver SB WW gak niat cari penumpang. harusnya mendekati halte cek dulu ada orang mau naik gak. bukannya patas aja. yaa gini nih kalau kerjanya ngasal dan gak ikhlas,driver sb ww gak niat cari penumpang harusnya mendekati halte cek dulu ada orang mau naik gak bukannya patas aja yaa gini nih kalau kerjanya ngasal dan gak ikhlas
Fangny Farida,2,2026-02-18 07:51:22,Lama banget nunggu bis berangkat. Masuk dalam bis jam 06.58..sampe jam 07.50 blom jalan?!!! Yang atur jadwal makin lama makin ga jelass. Bukan lama diperjalanan. Lama nunggu bis ini. Angkutan publik kok lemot amat. Perbaiki layanannya!!! Padahal ini rabu bukan hari senin,lama banget nunggu bis berangkat masuk dalam bis jam sampe jam blom jalan yang atur jadwal makin lama makin ga jelass bukan lama diperjalanan lama nunggu bis ini angkutan publik kok lemot amat perbaiki layanannya padahal ini rabu bukan hari senin
Vario 125,2,2026-02-16 08:16:42,gak bisa lihat posisi armada... mohon lekas diupdate/diperbaiki..,gak bisa lihat posisi armada mohon lekas diupdate diperbaiki
Sheira Ekaputri Wijayanto,1,2026-02-15 14:40:21,gobis ni emang gabisa dibuka lewat paket data apa gimana sih? aplikasi gobisku gapernah bisa dipake buat ngecek bus kalo aku buka pake paket data🙁,gobis ni emang gabisa dibuka lewat paket data apa gimana sih aplikasi gobisku gapernah bisa dipake buat ngecek bus kalo aku buka pake paket data
Sur_ Guns,1,2026-02-15 11:49:01,kok tampilannya ilang? Gabisa Login,kok tampilannya ilang gabisa login
Romi Romi,1,2026-02-14 14:58:27,aplikasi gak guna masak mau lihat titik bus yaa mesti koneksi putus 😆,aplikasi gak guna masak mau lihat titik bus yaa mesti koneksi putus
Khansa Veda Janitra (Khansa_D4 Desain Grafis),1,2026-02-12 18:33:12,mobil wira wiri sekecil itu buat surabaya yg sepadet ini? mana armadanya dikit bgt lg gtau apa penumpangnya kek babon babon semua tolong dong simpatinya pemerintah,mobil wira wiri sekecil itu buat surabaya yg sepadet ini mana armadanya dikit bgt lg gtau apa penumpangnya kek babon babon semua tolong dong simpatinya pemerintah
sunita widiani,1,2026-02-12 10:19:50,"saldo tb tb ilang pdhl blm ada transaksi, mending balik qris aja transaksinya. ribet",saldo tb tb ilang pdhl blm ada transaksi mending balik qris aja transaksinya ribet
Tuny Ekowati1,3,2026-02-11 17:20:26,"Suka banget bisa jalan jalan keliling Surabaya. Sayangnya, sering banget sisa kapasitas ga update, barusan aja di aplikasi sisa kapasitasnya 60, giliran bus nya dateng udh full :( padahal lagi buru buru",suka banget bisa jalan jalan keliling surabaya sayangnya sering banget sisa kapasitas ga update barusan aja di aplikasi sisa kapasitasnya giliran bus nya dateng udh full padahal lagi buru buru
the opportunity,1,2026-02-10 15:06:49,titik bus tdk sesuai map,titik bus tdk sesuai map
Ronggo Warsito,5,2026-02-10 08:08:20,oke,oke
Zainal Pekeng,1,2026-02-09 17:39:03,saya top up kok malah ngga masuk aneh........,saya top up kok malah ngga masuk aneh
Nanda,1,2026-02-09 17:23:47,lemot,lemot
Mona,2,2026-02-09 06:26:30,"Aplikasi eroran , trackingnya sering ga muncul",aplikasi eroran trackingnya sering ga muncul
Moch.Syahdu Edo,5,2026-02-09 06:00:14,bagus sangat membantu,bagus sangat membantu
Fajar Himawan,2,2026-02-05 17:06:46,map sering eror GPS tidak akurat mohon diperbaiki.,map sering eror gps tidak akurat mohon diperbaiki
kenmasanly,3,2026-02-05 12:56:19,"harap benerin tracking nya boss, trackingnya gabisa diliat posisi kendaraan nya",harap benerin tracking nya boss trackingnya gabisa diliat posisi kendaraan nya
aura putri,1,2026-02-05 08:41:07,"tolong lah keberangkatan sesuai jam jadwal yang tertera, masa wira wiri arah lakarsantri kode A di jam 8 keatas gaada sama sekali lewat? malah ngumpul di pusat nya. orang juga ada yang mau kerja, sekolah, ngejar waktu loh. smoga aja bisa ngerasain gmn apes nya kalo telat ya. perbaiki lah sistem nya, merugikan sekali, kami juga bayar.",tolong lah keberangkatan sesuai jam jadwal yang tertera masa wira wiri arah lakarsantri kode a di jam keatas gaada sama sekali lewat malah ngumpul di pusat nya orang juga ada yang mau kerja sekolah ngejar waktu loh smoga aja bisa ngerasain gmn apes nya kalo telat ya perbaiki lah sistem nya merugikan sekali kami juga bayar
Chenan Tixki,2,2026-02-03 15:17:04,"Gak bisa beli tiket maupun login pakai data seluler gak peduli mau sebagus apapun jaringannya karena pasti selalu gagal dengan tulisan ""koneksi terputus"" begitu, jadi untuk segala halnya harus tetring wifi. Mohon diperbaiki, menyusahkan.",gak bisa beli tiket maupun login pakai data seluler gak peduli mau sebagus apapun jaringannya karena pasti selalu gagal dengan tulisan koneksi terputus begitu jadi untuk segala halnya harus tetring wifi mohon diperbaiki menyusahkan
Chiboy Cristian Sibarani,1,2026-02-03 09:25:54,Strategi pemeliharaan aplikasinya sangat buruk. Aplikasi sering bug dan error. Saya tidak bisa track feeder karena GPS-nya sama sekali tidak muncul. Padahal sinyal sudah bagus. tolong segera diperbaiki,strategi pemeliharaan aplikasinya sangat buruk aplikasi sering bug dan error saya tidak bisa track feeder karena gps nya sama sekali tidak muncul padahal sinyal sudah bagus tolong segera diperbaiki
gilang tomi,1,2026-02-02 19:13:07,"bug mulu rutenya, ngeselin",bug mulu rutenya ngeselin
Eka maria Christin,1,2026-02-02 12:19:26,"tiket hemat sering berkali kali tiba tiba hilang jadi 0.. pas mau pakai akhirnya jadi pakai qris mau liat bis atau feeder nya jg jadi gak bisa krn gak muncul tlong dong sistem nya diperbaiki jngan error trs... klo gak gitu tiket hemat kliatan ada tapi pas mau bayar gak bisa"" trs.. pdahal sinyal full",tiket hemat sering berkali kali tiba tiba hilang jadi pas mau pakai akhirnya jadi pakai qris mau liat bis atau feeder nya jg jadi gak bisa krn gak muncul tlong dong sistem nya diperbaiki jngan error trs klo gak gitu tiket hemat kliatan ada tapi pas mau bayar gak bisa trs pdahal sinyal full
fanfan,2,2026-01-31 16:33:31,tolong diperbaiki bug dan erornya... saya kadung top up 100rb dan saya ga bisa gunain saldo gobis karena applikasinya terus bilang koneksi internet terputus padahal internet saya baik2 saja.. tolong banget kakak2 🥹🙏🏼,tolong diperbaiki bug dan erornya saya kadung top up rb dan saya ga bisa gunain saldo gobis karena applikasinya terus bilang koneksi internet terputus padahal internet saya baik saja tolong banget kakak
Indah muliawati Poerwoko,1,2026-01-30 22:35:29,gak nyambung nyambung. koneksi terputus,gak nyambung nyambung koneksi terputus
Anorizta AW 06,4,2026-01-30 17:46:06,"Mau saran aja, untuk busnya bisa tolong di kasih keterangan berapa jumlah penumpang yang ada di bus nya kayak apk bus sebelah? Jadi kita(penumpang) bisa tau apakah bus yang mau kita naiki penuh atau tidak",mau saran aja untuk busnya bisa tolong di kasih keterangan berapa jumlah penumpang yang ada di bus nya kayak apk bus sebelah jadi kita penumpang bisa tau apakah bus yang mau kita naiki penuh atau tidak
ishak rianto1,1,2026-01-30 16:57:04,"Lokasi mobil ga muncul², alasannya koneksi terputus, padahal wifi bener² aman, app ga niatt, saya akhirnya suka telat karena lokasi mobilnya ga muncul², tolong di perbaiki, app pemerintah suka ga jelas",lokasi mobil ga muncul alasannya koneksi terputus padahal wifi bener aman app ga niatt saya akhirnya suka telat karena lokasi mobilnya ga muncul tolong di perbaiki app pemerintah suka ga jelas
iqbal rizky,1,2026-01-30 11:47:38,"hapus aja lah, gak bisa di pakai Aplikasi ya. gak guna",hapus aja lah gak bisa di pakai aplikasi ya gak guna
Tio Dianto,1,2026-01-30 06:18:09,Rute dari smkn 4 kranggan ke balongsari tandes tidak ada. pdhal daerahnya posisinya didaerah tengah.,rute dari smkn kranggan ke balongsari tandes tidak ada pdhal daerahnya posisinya didaerah tengah
Soghi Tankoiko,1,2026-01-29 01:22:17,"Eror, tidak bisa registrasi dan login, banyak bug",eror tidak bisa registrasi dan login banyak bug
Alkahfi sembako,1,2026-01-28 19:22:26,plis help tadi udah di dalam bus gbs login dan beli tiket akhirnya turun di halte terdekat. apakah lagi eror? mau komplain ke siapa iniiiiii 😭😭😭,plis help tadi udah di dalam bus gbs login dan beli tiket akhirnya turun di halte terdekat apakah lagi eror mau komplain ke siapa iniiiiii
Jasmine Nur Inayah Ardiansyah,2,2026-01-28 18:53:30,"saldo ilang tiba""",saldo ilang tiba
Nabil NJMDN,1,2026-01-28 18:43:09,"ampas bgt. udh transum jelek, aplikasi ikutan jelek",ampas bgt udh transum jelek aplikasi ikutan jelek
Fasya Bachtiar,1,2026-01-28 17:55:18,gak bisa dibuka. gak bisa daftar sama sekali,gak bisa dibuka gak bisa daftar sama sekali
Rosa,1,2026-01-28 14:25:21,"kenapa setiap buka aplikasi, kok gak muncul kendaraannya?",kenapa setiap buka aplikasi kok gak muncul kendaraannya
FebriValenten VEVO,1,2026-01-28 13:20:25,"ini gimana pengembang aplikasi nya ? kenapa saldo tiket hemat saya hilang jadi nol, pdhal sebelumnya sisa 6, pdhal baru top up kemaren, tapi riwayat pembelian tiket hemat nya kenapa yg terakhir tgl 10 januari, terus koneksi terputus. untuk sekelas kota gede surabaya, aplikasi ada bug kaya gini kecewa sih .",ini gimana pengembang aplikasi nya kenapa saldo tiket hemat saya hilang jadi nol pdhal sebelumnya sisa pdhal baru top up kemaren tapi riwayat pembelian tiket hemat nya kenapa yg terakhir tgl januari terus koneksi terputus untuk sekelas kota gede surabaya aplikasi ada bug kaya gini kecewa sih
Annisa Salsabila,1,2026-01-28 11:29:48,habis update kok malah eror koneksi terputus terus,habis update kok malah eror koneksi terputus terus
Dian surya Taurina,1,2026-01-27 08:42:09,"tracking armada nya sering gak terlacak.. sering ada tulisan koneksi terputus juga padahal sinyal hp lagi kenceng bgt.. kalo tanya helper atau supir bilangnya selalu ""sering error aplikasi nya""",tracking armada nya sering gak terlacak sering ada tulisan koneksi terputus juga padahal sinyal hp lagi kenceng bgt kalo tanya helper atau supir bilangnya selalu sering error aplikasi nya
Ichika Devi Septiananda,1,2026-01-27 06:12:23,aplikasinya sering error seperti bis dan wira wirinya gak muncul di maps,aplikasinya sering error seperti bis dan wira wirinya gak muncul di maps
Kambose Pusu,1,2026-01-25 19:37:20,banyak halte cuma di lewatin tidak mau ambil penumpang kayak kejadian hari ini tgl 25 Januari 2026. bus SB07 pukul 19:27 wib cuma lewat ngebut nyalib truk di depan halte tanjung perak padahal ada penumpang 3 orang tunggu di halte,banyak halte cuma di lewatin tidak mau ambil penumpang kayak kejadian hari ini tgl januari bus sb pukul wib cuma lewat ngebut nyalib truk di depan halte tanjung perak padahal ada penumpang orang tunggu di halte
Febriani Tri Ayu Pujisari,1,2026-01-25 14:23:36,"Jujur kemarin2 ga ada masalah, tp ini kenapa kemarin banget pas buka aplikasi ga kebaca bus nya, jd blank aja ga ada perjalanan busnya. kirain cuman di hp aku krn memori uda hampir penuh, pas dicoba di hp lain jg sama seperti itu tolong dong bug ini segera diperbaiki, aplikasi ini membantu orang utk bisa memantau perjalanan busnya",jujur kemarin ga ada masalah tp ini kenapa kemarin banget pas buka aplikasi ga kebaca bus nya jd blank aja ga ada perjalanan busnya kirain cuman di hp aku krn memori uda hampir penuh pas dicoba di hp lain jg sama seperti itu tolong dong bug ini segera diperbaiki aplikasi ini membantu orang utk bisa memantau perjalanan busnya
THECRAFT D,4,2026-01-25 12:46:16,"halte fd6 tij lakar , halte Lakarsantri gak dibuat tempat iyupan atau apa gtu??? kok cuma pohon pohonan,kasihan orang nunggu disitu siapa tahu disana hujan deras lagi nunggu wirawiri tapi tidak ada iyupan nya.Saran mending buatin halte yang bagus ,lagian itu pemberhentian terakhir 🤭",halte fd tij lakar halte lakarsantri gak dibuat tempat iyupan atau apa gtu kok cuma pohon pohonan kasihan orang nunggu disitu siapa tahu disana hujan deras lagi nunggu wirawiri tapi tidak ada iyupan nya saran mending buatin halte yang bagus lagian itu pemberhentian terakhir
Totok Suwarno,5,2026-01-25 10:05:12,sangat membantu,sangat membantu
Albert (Al),2,2026-01-24 19:52:37,kenapa fitur maps trans semanggi / teman bus tidak ada?,kenapa fitur maps trans semanggi teman bus tidak ada
Fadli Rasulianto,1,2026-01-23 15:02:48,aplikasi gajelas mau daftar member ga bisa2 loading ga selesai2,aplikasi gajelas mau daftar member ga bisa loading ga selesai
Tommy CW,1,2026-01-22 14:27:49,"GPS sama sekali tidak akurat, dimap terlihat jauh tapi saat saya mau siap2 trnyt unit sudah lewat. tolong yg benar klo buat gps diupgrade dong",gps sama sekali tidak akurat dimap terlihat jauh tapi saat saya mau siap trnyt unit sudah lewat tolong yg benar klo buat gps diupgrade dong
Riski Aprilia,1,2026-01-22 12:33:55,kenapa sering tiba2 ga bisa di pake ya aneh banget.,kenapa sering tiba ga bisa di pake ya aneh banget
Grace,1,2026-01-22 11:39:46,sekarang aplikasi sering error sampai melewatkan wira wiri 2x krn gak bisa beli tiket gobis,sekarang aplikasi sering error sampai melewatkan wira wiri x krn gak bisa beli tiket gobis
arief phiehanto,4,2026-01-20 17:54:19,"sebenarnya bagus cm menurut sy ada yg kurang. 1 tdk fkexibel dengan operator lain telkomsel sering koneksi putus. 2 sy tunggu sampai 4x sesi wira wiri br dapat. lbh baik di apk trdapat info juga full. kasihan anak sy pulang sekolah sampai tunggu 2 jam, gerimis sampai hujan.",sebenarnya bagus cm menurut sy ada yg kurang tdk fkexibel dengan operator lain telkomsel sering koneksi putus sy tunggu sampai x sesi wira wiri br dapat lbh baik di apk trdapat info juga full kasihan anak sy pulang sekolah sampai tunggu jam gerimis sampai hujan
EYF,4,2026-01-20 16:41:30,"Bagus sekali, menjangkau banyak daerah. Namun, sangat di sayangkan, terkadang saya mendapati supir/helper yang menurut saya kurang menjaga kesopan an, dari cara berbicara nya atau pelayanan nya",bagus sekali menjangkau banyak daerah namun sangat di sayangkan terkadang saya mendapati supir helper yang menurut saya kurang menjaga kesopan an dari cara berbicara nya atau pelayanan nya
Alifan Adi,1,2026-01-19 06:36:55,"benerin lagi dongo,koneksi terputus mulu",benerin lagi dongo koneksi terputus mulu
Nopy Daryanti,1,2026-01-17 13:15:14,"aplikasi tolong di perbaiki banyak trobel, mau login aja susah banget ... email & pasword sudah bener malah internet terjadi masalah kuota masih banyak di pakek di aplikasi lain lancar"" aja",aplikasi tolong di perbaiki banyak trobel mau login aja susah banget email pasword sudah bener malah internet terjadi masalah kuota masih banyak di pakek di aplikasi lain lancar aja
firmansyah lutvi,2,2026-01-15 20:32:34,"aplikasimu koneksi terputus teros min, tolong ndang di service. suwon",aplikasimu koneksi terputus teros min tolong ndang di service suwon
Hari Anto,2,2026-01-14 12:09:14,aplikasi gak jelas... sinyal enak eh malah koneksi terputus mulu,aplikasi gak jelas sinyal enak eh malah koneksi terputus mulu
Fauzan Farhad,1,2026-01-13 22:09:15,tidam membantu sama sekali,tidam membantu sama sekali
Mingini_e lovers,1,2026-01-13 09:05:27,bobrok,bobrok
Afira Whaffle,1,2026-01-13 08:29:31,Udah beli Tiket Hemat 40K terus lupa passwordnya eh taunya gabisa ganti ulang/riset password jadi Hangus lah tiketnya 😭 aplikasinya Gajelas banget deh bikin bingung mana sering tbtb koneksi Gobis terputus padahal jaringan nya udah bagus lho😭 mohon diperhatikan lagi deh kedepannya❗️,udah beli tiket hemat k terus lupa passwordnya eh taunya gabisa ganti ulang riset password jadi hangus lah tiketnya aplikasinya gajelas banget deh bikin bingung mana sering tbtb koneksi gobis terputus padahal jaringan nya udah bagus lho mohon diperhatikan lagi deh kedepannya
Jefri Agung wibowo,1,2026-01-12 17:08:05,"jaringan bagus padahal,bus Masi jauh pas nyampek halte malah sudah lewat",jaringan bagus padahal bus masi jauh pas nyampek halte malah sudah lewat
sofianti putri,3,2026-01-12 08:04:59,tolong ww osowilangon-unesa ditambah. kemarinn sudah ada 5 feeder skrg jd 4 lagi.,tolong ww osowilangon unesa ditambah kemarinn sudah ada feeder skrg jd lagi
chamvredx “To” Suto,3,2026-01-12 05:53:25,"GPS untuk posisi pengguna tidak akurat, ruteny pun ruwet, jam 6 pagi lokasi bus belum muncul",gps untuk posisi pengguna tidak akurat ruteny pun ruwet jam pagi lokasi bus belum muncul
Auryn,1,2026-01-11 15:11:11,"banyak bug, kebanyakan Race condition sampai koneksi terputus, menggunakan tracking GPS tidak Deterministik sampai miss perhitungan Posisi. tolong Perbaiki lagi supaya tidak terjadi hal-hal seperti itu ya.",banyak bug kebanyakan race condition sampai koneksi terputus menggunakan tracking gps tidak deterministik sampai miss perhitungan posisi tolong perbaiki lagi supaya tidak terjadi hal hal seperti itu ya
Yeni Juliyana,1,2026-01-10 09:59:38,"pertama kali donlod dan disuruh daftar member, selesai mengisi data diri pas di enter ga bisa, ada pemberitahuan koneksi terputus padahal mah wifi full",pertama kali donlod dan disuruh daftar member selesai mengisi data diri pas di enter ga bisa ada pemberitahuan koneksi terputus padahal mah wifi full
Cccc Cccc,2,2026-01-09 17:45:30,hanya bisa diakses pakai wifi 😏😏😏,hanya bisa diakses pakai wifi
Bluray Hero,1,2026-01-09 09:45:11,"trans semanggi jarak nggak ada 10 meter saya lari di k3mart dekat halte tunjungan, eh ditinggal juga dan perpanjangan jalur tapi Urip Sumoharjo yang arah basra tetep nggak di lewati",trans semanggi jarak nggak ada meter saya lari di k mart dekat halte tunjungan eh ditinggal juga dan perpanjangan jalur tapi urip sumoharjo yang arah basra tetep nggak di lewati
Atou Iruddin,1,2026-01-08 13:37:29,"Pantas bintangnya 2 mau menggunakan harus daftar, sedangkan daftar loading g selesai².. Y g bisa dibuka",pantas bintangnya mau menggunakan harus daftar sedangkan daftar loading g selesai y g bisa dibuka
Ali Wahyudi Arifin,1,2026-01-07 07:02:17,"aplikasi terlalu sering logout sendiri, sering ada pemberitahuan kehilangan sinyal padahal sinyal HP full dan aplikasi lainnya aman. MOHON LEBIH DIPERHATIKAN",aplikasi terlalu sering logout sendiri sering ada pemberitahuan kehilangan sinyal padahal sinyal hp full dan aplikasi lainnya aman mohon lebih diperhatikan
Rikima sunarko,1,2026-01-05 10:15:10,"bintang nol ada gak sih ini aplikasi, gak respon sama sekali, gak bisa diapa apain, padahal hp baru,",bintang nol ada gak sih ini aplikasi gak respon sama sekali gak bisa diapa apain padahal hp baru
Rizal Kisol,1,2026-01-02 18:29:22,"aplikasi sering eror, sering gak muncul bus atau wira wiri nya..tolong di benerin lagi..",aplikasi sering eror sering gak muncul bus atau wira wiri nya tolong di benerin lagi
miftakhul mahmudi,1,2026-01-01 15:52:17,aplikasi gak bisa eror tolong di benahi. mengecewakan,aplikasi gak bisa eror tolong di benahi mengecewakan
Betmen Kuat,1,2025-12-30 19:42:51,"aplikasi lemot parah, ga bisa di harapkan",aplikasi lemot parah ga bisa di harapkan
Rahman,1,2025-12-29 14:49:32,ga bisa di pake,ga bisa di pake
Faizzah Marufah,3,2025-12-29 08:37:00,"Sebenarnya lumayan suka bikin pergi kemana-mana jadi mudah. Tapi sekarang kacau. Dulu padahal ga pernah error, skrg sering banget aplikasi gak jalan. Mana map-nya juga sering salah titiknya. Padahal jaringan aman, penyimpanan masih banyak, sumpah enak gobis yang dulu. Ini ada email cs nya ga sih? Gara2 aplikasi error saya jadi gak bisa transaksi dan harus bayar cash sama orang lain, saldo di akun sendiri masih ada huhu :(",sebenarnya lumayan suka bikin pergi kemana mana jadi mudah tapi sekarang kacau dulu padahal ga pernah error skrg sering banget aplikasi gak jalan mana map nya juga sering salah titiknya padahal jaringan aman penyimpanan masih banyak sumpah enak gobis yang dulu ini ada email cs nya ga sih gara aplikasi error saya jadi gak bisa transaksi dan harus bayar cash sama orang lain saldo di akun sendiri masih ada huhu
Haryadi Poedji Sudrajat,1,2025-12-28 21:57:43,"transitnya bayar dobel. jam operasional ga jelas ada yang hingga 21.00 ada yang 22.00. membingungkan., ruwet",transitnya bayar dobel jam operasional ga jelas ada yang hingga ada yang membingungkan ruwet
eka rahmaan,1,2025-12-28 12:34:31,no recommended,no recommended
anet gerdenia,2,2025-12-26 17:25:14,aplikasi aneh tiba tiba susah buat lihat rute. tolong di perbaikin !!!,aplikasi aneh tiba tiba susah buat lihat rute tolong di perbaikin
Bambang Suparyanto,5,2025-12-25 18:38:38,"Aplikasi yang sangat bermanfaat bagi semua warga Surabaya... terimakasih GoBis,👍😁",aplikasi yang sangat bermanfaat bagi semua warga surabaya terimakasih gobis
Alvida Syantik,1,2025-12-25 11:20:55,"lemot bgt , ga akurat",lemot bgt ga akurat
Mella Ratna Dewi,1,2025-12-24 21:54:10,lemot banget,lemot banget
Motivasi Film,1,2025-12-24 17:20:15,"ini aplikasi gak pernah berbenah ya.... mau buka aplikasi aja buat bayar Trans Semanggi aja gak bisa, saya yang keliling dari UNAIR ke UNESA aja kagak bisa. Tolonglah berbenah dikitlah... kesel aku. pulian Transit banyak aku ini",ini aplikasi gak pernah berbenah ya mau buka aplikasi aja buat bayar trans semanggi aja gak bisa saya yang keliling dari unair ke unesa aja kagak bisa tolonglah berbenah dikitlah kesel aku pulian transit banyak aku ini
Dini Puspita,2,2025-12-23 17:56:53,ini hp saya atau apk nya yaaa setiap mau login gak pernah bisaa gatau kenapaa aneh banget gituloh saya ini butuh saya ngandelin ini tetapi malah gaisa masuk di akun itu maksudnya gimana yaa,ini hp saya atau apk nya yaaa setiap mau login gak pernah bisaa gatau kenapaa aneh banget gituloh saya ini butuh saya ngandelin ini tetapi malah gaisa masuk di akun itu maksudnya gimana yaa
Liana Hwie許仙莲,1,2025-12-23 12:15:28,"Aplikasi pemerintah sama sekali gak bisa diharapkan. Tiba2 logout sendiri, mau login lagi, email dan pasword uda dimasukkan dgn benar tp begitu diklik tombol ""login"" (warna biru) tetep gak terjadi apa2. Tanpa login gak bisa liat rute. Serius deh, pegawai pemerintah gak ada yg jago IT kah? Bikin aplikasi selalu gak guna.",aplikasi pemerintah sama sekali gak bisa diharapkan tiba logout sendiri mau login lagi email dan pasword uda dimasukkan dgn benar tp begitu diklik tombol login warna biru tetep gak terjadi apa tanpa login gak bisa liat rute serius deh pegawai pemerintah gak ada yg jago it kah bikin aplikasi selalu gak guna
Arri Woii,1,2025-12-22 11:22:36,"ini gimana nih developer aplikasi nya gak jalan, eror, bintang 1 aja",ini gimana nih developer aplikasi nya gak jalan eror bintang aja
Ronaldo Aolya Putra Zaesti,1,2025-12-21 10:10:24,aplikasi sering kacau,aplikasi sering kacau
Ny Riya,1,2025-12-20 16:33:10,aplikasi taekkk,aplikasi taekkk
Indriani Safitri,1,2025-12-20 10:14:08,"daftar akun loading lama tanpa keterangan apapun, waste time bgt",daftar akun loading lama tanpa keterangan apapun waste time bgt
